,target,type,5_mean,5_std,10_mean,10_std,15_mean,15_std,20_mean,20_std,30_mean,30_std,40_mean,40_std,50_mean,50_std,100_mean,100_std
Torque4_Proposed method 3,Torque4,Proposed method 3,12.175055079822693,3.395795145596047,8.641921804704987,1.945308719042853,7.871041663279489,1.8651226982122626,6.444281970824288,1.09220169592325,5.671901645703121,1.11642598083683,5.246766537476042,1.0593899625758494,4.7825221912465885,0.6653784477715645,nan,nan
Torque5_No transfer,Torque5,No transfer,1.0758348283749724,0.16929435284921565,0.985730331607817,0.09010051531408592,0.9323431555525964,0.16473136838023597,0.8596503616885108,0.1272411618814772,0.7373980011733926,0.1230771142406373,0.6857467983392802,0.09365244416587101,0.6077052379118594,0.07045202674794207,nan,nan
Torque5_Only source,Torque5,Only source,1.1068607994875173,0.15509198570212848,1.0149190710732898,0.0894157374136641,1.0242752302509275,0.14579843659671402,0.9644608710333961,0.14845945980196368,0.8457727554934525,0.1249371445817175,0.7974407767585182,0.11116132385848113,0.7391987696834967,0.10287536524767613,nan,nan
Torque5_Argumented,Torque5,Argumented,1.0817083872742987,0.15958470326337448,0.9848938173118709,0.0897732445602296,0.8946751793963458,0.12533398578486155,0.8487644167225981,0.13515367286096777,0.7372255556510094,0.12902932272196274,0.6792080028388547,0.10164280407735782,0.6230017270635438,0.10987499570105733,nan,nan
Torque5_HTL-offset,Torque5,HTL-offset,1.11488580610797,0.17279695681346427,0.9979283656931646,0.09488724678657984,0.9817253881089634,0.1625307528875385,0.944321731899565,0.15162099025431347,0.8057800337465272,0.11266466333671345,0.7384454232385167,0.11002019679014943,0.6930408795361733,0.09868110041689443,nan,nan
Torque5_HTL-scale,Torque5,HTL-scale,1.1461076863727637,0.24805774724074198,0.9927825565788899,0.0933123285103106,0.9700209474086113,0.15075220192590047,0.9386423094695484,0.12425223164037628,0.8059675554519045,0.09655953659362018,0.7542286424518343,0.0842412290562981,0.775528560242228,0.2108451547103091,nan,nan
Torque5_Proposed method,Torque5,Proposed method,1.03375566106831,0.1206290149572115,0.9351448849921257,0.12551346243430586,0.8780437782200838,0.12857904554797572,0.8615675142368119,0.12945541155030119,0.7619350345169231,0.14382483331105628,0.7256741654053409,0.11724359346561114,0.6349076523443391,0.06804387040931859,nan,nan
Torque5_Proposed method 2,Torque5,Proposed method 2,0.9955280058729683,0.12665600437318744,1.0082106017445704,0.1885208909320169,0.9072164500255868,0.14057901608501921,0.8744542426703642,0.1203678856221556,0.7944575295920411,0.1675039674145844,0.7059932467626947,0.11959651845716739,0.674278849511478,0.10917607521136075,nan,nan
Torque5_Proposed method 3,Torque5,Proposed method 3,1.0433212135708736,0.11425375643890459,0.9712123793248107,0.0998853359432668,0.8969002840047612,0.11342091450139491,0.8880051733937669,0.12927581780401634,0.7386305431675394,0.1224728595540415,0.7024230936233447,0.09203340617162212,0.6291926531415053,0.06722595392852372,nan,nan
Torque6_No transfer,Torque6,No transfer,1.8587451102086496,0.2458844279467128,1.665915706472759,0.19381373659708856,1.5004262247358253,0.16694035633194232,1.3587518610344231,0.15616084283782408,1.2080352772379739,0.1427649905369438,1.1114312673916165,0.08803009827070055,1.0681728798231878,0.09689007191263575,nan,nan
Torque6_Only source,Torque6,Only source,1.9504325353199694,0.24967650459035942,1.8794026473463006,0.40662258457524497,1.7913564063247485,0.20627024308683303,1.8002121364003476,0.3782581196822737,1.6092732514209291,0.21604928337682147,1.5786225609234519,0.17290561280576963,1.5510829211152852,0.19966591962214247,nan,nan
Torque6_Argumented,Torque6,Argumented,1.8415074529004503,0.17089177125146132,1.6512208432300397,0.19972069585802132,1.4751965950673156,0.18292895907573536,1.3263850156460477,0.20655092097005223,1.1671064437357952,0.20044387561270213,1.029527215776993,0.11735377217590133,0.9636430294651571,0.11459957410779778,nan,nan
Torque6_HTL-offset,Torque6,HTL-offset,1.9239011189524295,0.2573651738930863,1.8372065459594686,0.4262312183081058,1.7213737071081663,0.2622471282230822,1.711307706161465,0.42076937563220496,1.439395547118901,0.27105096944186585,1.3906499882534813,0.24544075534932577,1.3913708050472544,0.2893758915715924,nan,nan
Torque6_HTL-scale,Torque6,HTL-scale,1.909793050288553,0.2560847252572058,1.891428194822609,0.4249652455476095,1.8100884629185607,0.3257426692556596,1.8399128011825145,0.3977339183212241,1.6771080998208696,0.3002476988704041,1.5929310923250628,0.24786654493739355,1.5870977131600994,0.24213624024838046,nan,nan
