,data_name,n_sample,n_itr,type,MSE,Corr,MAE,R2
Torque1_n5_itr15_AffineTrans3,Torque1,5,15,Proposed method 3,606.6644460007797,-0.061299363022438894,19.357485510619764,-0.4647447778068001
Torque1_n5_itr16_WOTL,Torque1,5,16,Without transfer,375.3000418646532,0.3637817652711943,14.352442818611395,0.09386683189405542
Torque1_n5_itr16_ONLY,Torque1,5,16,Using only source features,385.63541182757325,0.30457824948170575,14.574666045890712,0.06891287377159616
Torque1_n5_itr16_WITH,Torque1,5,16,With source features,367.72941970576494,0.3839502016538445,14.108114204457442,0.1121455184811474
Torque1_n5_itr16_RES,Torque1,5,16,Leraning the residuals,385.5639326824722,0.3048718499110871,14.572811228724524,0.06908545468547533
Torque1_n5_itr16_RATE,Torque1,5,16,Learning the rates,699.306998815958,-0.2908744686937976,20.86456762933117,-0.6884231165214916
Torque1_n5_itr16_AffineTrans,Torque1,5,16,Proposed method,394.6819899600131,0.3338234358737524,14.80548689971153,0.047070604682209916
Torque1_n5_itr16_AffineTrans2,Torque1,5,16,Proposed method 2,409.1249012896962,0.24430898040865395,15.203731905409581,0.012199302950357982
Torque1_n5_itr16_AffineTrans3,Torque1,5,16,Proposed method 3,368.8913247657004,0.37532607050417605,14.143542840398716,0.10934018782419697
Torque1_n5_itr17_WOTL,Torque1,5,17,Without transfer,392.73651069503893,0.4189611483853082,15.10526610370939,0.05176781516238149
Torque1_n5_itr17_ONLY,Torque1,5,17,Using only source features,1455.643851775403,0.2289779289894969,31.53321995738724,-2.51454044206813
Torque1_n5_itr17_WITH,Torque1,5,17,With source features,402.7939868173685,0.3676443304112785,15.280971392712384,0.027484810405448812
Torque1_n5_itr17_RES,Torque1,5,17,Leraning the residuals,1458.2915804587674,0.2297747669543797,31.563653881248232,-2.5209331799112213
Torque1_n5_itr17_RATE,Torque1,5,17,Learning the rates,1307.8718184609404,0.21096061797215027,29.597459328332935,-2.157756200746407
Torque1_n5_itr17_AffineTrans,Torque1,5,17,Proposed method,383.1712718348668,0.391881779821407,14.91516403981278,0.07486235080110559
Torque1_n5_itr17_AffineTrans2,Torque1,5,17,Proposed method 2,412.6049323703328,0.2702171789918248,15.537912288018676,0.00379703480102056
Torque1_n5_itr17_AffineTrans3,Torque1,5,17,Proposed method 3,388.1410226298591,0.39933740481028024,15.025081739132492,0.06286326865288816
Torque1_n5_itr18_WOTL,Torque1,5,18,Without transfer,414.74480141150053,0.14372845873068818,15.345334489105154,-0.001369514885388723
Torque1_n5_itr18_ONLY,Torque1,5,18,Using only source features,398.70183760481325,0.41301326953391543,14.913023090207393,0.03736499083898093
Torque1_n5_itr18_WITH,Torque1,5,18,With source features,414.622607303723,0.2585590580983072,15.342296634649914,-0.0010744865836218587
Torque1_n5_itr18_RES,Torque1,5,18,Leraning the residuals,398.5803704639493,0.4126488674189051,14.909391914998151,0.03765826393488836
Torque1_n5_itr18_RATE,Torque1,5,18,Learning the rates,398.8905129209052,0.41251251074347395,14.898187996742417,0.03690944875839819
Torque1_n5_itr18_AffineTrans,Torque1,5,18,Proposed method,417.57922884502165,0.13221116791475698,15.3847489001973,-0.008213022542201465
Torque1_n5_itr18_AffineTrans2,Torque1,5,18,Proposed method 2,426.6502032585556,0.03748911129005392,15.600609263497565,-0.030114194581259524
Torque1_n5_itr18_AffineTrans3,Torque1,5,18,Proposed method 3,407.3864467503322,0.36886931778959353,15.14511855829786,0.016396668107940715
Torque1_n5_itr19_WOTL,Torque1,5,19,Without transfer,352.0796390563192,0.4312936322197378,13.702337031624362,0.1499307136268475
Torque1_n5_itr19_ONLY,Torque1,5,19,Using only source features,453.40297959488663,0.3211053575240347,16.037695922653086,-0.0947067212882291
Torque1_n5_itr19_WITH,Torque1,5,19,With source features,342.87667987081505,0.4358146654806454,13.239297084406523,0.17215055277548785
Torque1_n5_itr19_RES,Torque1,5,19,Leraning the residuals,453.39611555938643,0.3211226166530499,16.03756049900542,-0.09469014860093883
Torque1_n5_itr19_RATE,Torque1,5,19,Learning the rates,448.17960379820556,0.3211685136657086,15.900155745985158,-0.08209528102475727
Torque1_n5_itr19_AffineTrans,Torque1,5,19,Proposed method,433.38397035572586,0.32762698017073194,15.682403040616947,-0.046372358802959646
Torque1_n5_itr19_AffineTrans2,Torque1,5,19,Proposed method 2,352.27380144593064,0.43227103708012754,13.707610662575163,0.14946192342807352
Torque1_n5_itr19_AffineTrans3,Torque1,5,19,Proposed method 3,444.0124650123178,0.3273287227075255,15.838065636253178,-0.07203404401760705
Torque2_n5_itr0_WOTL,Torque2,5,0,Without transfer,308.8978007047517,0.11013895745132693,13.312228278307689,-0.3914252640005076
Torque2_n5_itr0_ONLY,Torque2,5,0,Using only source features,308.27958907381924,0.30549260392553607,13.290130449556745,-0.38864053947409194
Torque2_n5_itr0_WITH,Torque2,5,0,With source features,308.86874245276545,0.1306726310003772,13.310482089531341,-0.3912943715634325
Torque2_n5_itr0_RES,Torque2,5,0,Leraning the residuals,308.24043170036055,0.28177969098078853,13.287503722749694,-0.3884641557038675
Torque2_n5_itr0_RATE,Torque2,5,0,Learning the rates,308.70339264819023,0.2817954056341543,13.298922016289747,-0.3905495559805483
Torque2_n5_itr0_AffineTrans,Torque2,5,0,Proposed method,291.5020316854773,0.10996808718661351,12.367253778514806,-0.3130662972324949
Torque2_n5_itr0_AffineTrans2,Torque2,5,0,Proposed method 2,308.6392078305943,0.11058451810504578,13.290880905700716,-0.39026043648353514
Torque2_n5_itr0_AffineTrans3,Torque2,5,0,Proposed method 3,302.774518682614,0.2763734699553994,13.068704879599798,-0.36384303685365205
Torque2_n5_itr1_WOTL,Torque2,5,1,Without transfer,257.7280896768156,0.25851930501208187,12.646288963803498,-0.16093210893939913
Torque2_n5_itr1_ONLY,Torque2,5,1,Using only source features,245.59605827247455,0.3245452602598403,11.70842857612924,-0.1062835651131433
Torque2_n5_itr1_WITH,Torque2,5,1,With source features,251.215663586599,0.2899563178712245,12.386719903402351,-0.1315969884847068
Torque2_n5_itr1_RES,Torque2,5,1,Leraning the residuals,238.09503986460766,0.33190689416059704,11.50409487227476,-0.07249534617915732
